gene,gene,interaction
YKR026C,YGL122C,pp
YGR218W,YGL097W,pp
YGL097W,YOR204W,pp
YLR249W,YPR080W,pp
YLR249W,YBR118W,pp
YLR293C,YGL097W,pp
YMR146C,YDR429C,pp
YDR429C,YFL017C,pp
YPR080W,YAL003W,pp
YBR118W,YAL003W,pp
YOL123W,YGL044C,pp
YPL211W,YGR014W,pp
YJL030W,YGL229C,pp
YJL013C,YGL229C,pp
YGL122C,YOL123W,pp
YGR014W,YJL030W,pp
YGR014W,YJL013C,pp
YGR203W,YIL061C,pp
YCR084C,YBR112C,pp
YCR084C,YCL067C,pp
YER112W,YOR167C,pp
YJR022W,YNR050C,pp
YJR022W,YNL050C,pp
YJR022W,YEL015W,pp
YJR022W,YOR167C,pp
YJR022W,YLR264W,pp
YJR022W,YNR053C,pp
YER116C,YDL013W,pp
YNL307C,YAL038W,pp
YNL216W,YCR012W,pd
YNL216W,YGR254W,pd
YNL216W,YHR174W,pd
YNL216W,YIL133C,pd
YNL216W,YLR044C,pd
YNL216W,YOL120C,pd
YNL216W,YNL301C,pd
YNL216W,YCL030C,pd
YNL216W,YDR171W,pp
YNL216W,YBR093C,pd
YNL216W,YER074W,pd
YNL216W,YIL069C,pd
YNL216W,YAL038W,pd
YNL216W,YOL127W,pd
YNL216W,YDR050C,pd
YNL216W,YOL086C,pd
YAL030W,YER143W,pp
YOR327C,YER143W,pp
YER062C,YPL201C,pp
YDR412W,YCR086W,pp
YDR412W,YGL013C,pp
YDR412W,YLR117C,pp
YDR412W,YPR119W,pp
YDL014W,YOR310C,pp
YER179W,YLR044C,pp
YER179W,YLR134W,pp
YER179W,YIL105C,pp
YOR361C,YMR309C,pp
YOR361C,YDR429C,pp
YOR326W,YGL106W,pp
YMR186W,YBR155W,pp
YEL009C,YMR108W,pd
YEL009C,YOR202W,pd
YEL009C,YCL030C,pd
YEL009C,YBR248C,pd
YEL009C,YOL058W,pd
YEL009C,YMR300C,pd
YMR138W,YHR141C,pp
YMR138W,YLR109W,pp
YCL032W,YDR032C,pp
YCL032W,YLR362W,pp
YCL032W,YDR103W,pp
YCR012W,YJR060W,pd
YBR019C,YOL051W,pd
YBR019C,YGL035C,pd
YOL051W,YBR020W,pd
YOL051W,YLR081W,pd
YOL051W,YPL248C,pp
YOL051W,YBR018C,pd
YIR009W,YKR099W,pp
YIR009W,YIL143C,pp
YIR009W,YDR184C,pp
YIR009W,YNL091W,pp
YNL236W,YKL012W,pp
YML032C,YNL312W,pp
YLR116W,YKL012W,pp
YCR086W,YOR264W,pp
YDR309C,YLR229C,pp
YGR058W,YOR264W,pp
YJR109C,YOR303W,pp
YLR256W,YML054C,pd
YLR256W,YJR048W,pd
YLR256W,YEL039C,pd
YGL237C,YJR048W,pd
YBL021C,YJR048W,pd
YDR311W,YKL028W,pp
YPL149W,YHR171W,pp
YPL149W,YBR217W,pp
YKL109W,YGL237C,pp
YKL109W,YBL021C,pp
